Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
-6.1232e-17,-6.1232e-17,0.63856,0.0002247,8.2482e-05,0.00074198,0.00046664,0.00046656,-7.6084e-06,-4.666e-06,4.358e-07
-6.1232e-17,0.032719,0.63845,0.00020781,2.4241e-05,0.00074351,0.00046845,0.00046805,2.4451e-05,-3.0506e-06,1.5777e-06
-6.1232e-17,0.065403,0.63784,0.00018599,-3.2175e-05,0.00075903,0.00047255,0.00047352,5.6603e-05,-1.4068e-06,2.6437e-06
-6.1232e-17,0.098017,0.63671,0.00016026,-7.9139e-05,0.00078785,0.00047887,0.00048375,8.8949e-05,-4.2484e-07,3.4082e-06
-6.1232e-17,0.13053,0.63507,0.00012854,-0.0001279,0.00082821,0.00048751,0.00049939,0.00012162,1.4807e-07,3.4268e-06
-6.1232e-17,0.1629,0.63289,8.3197e-05,-0.0001832,0.00088006,0.00049835,0.00051998,0.00015493,7.2909e-07,3.1469e-06
-6.1232e-17,0.19509,0.63022,1.508e-05,-0.00023503,0.00094426,0.00051106,0.00054466,0.00018917,1.4831e-06,2.7838e-06
-6.1232e-17,0.22708,0.62708,-8.1393e-05,-0.00027485,0.0010187,0.00052558,0.00057302,0.00022432,2.5272e-06,2.0298e-06
-6.1232e-17,0.25882,0.62347,-0.00020582,-0.00029663,0.0011024,0.00054219,0.00060547,0.00026045,3.7605e-06,6.5445e-07
-6.1232e-17,0.29028,0.61943,-0.00035149,-0.00028913,0.0011954,0.00056113,0.00064237,0.00029744,5.3975e-06,-8.0846e-07
-6.1232e-17,0.32144,0.61499,-0.00051279,-0.000251,0.0012976,0.00058203,0.0006837,0.00033474,7.5985e-06,-1.9156e-06
-6.1232e-17,0.35225,0.61017,-0.00069017,-0.0002029,0.001408,0.00060433,0.00072908,0.00037226,9.5065e-06,-3.2345e-06
-6.1232e-17,0.38268,0.60502,-0.00088125,-0.00017256,0.0015234,0.00062767,0.00077716,0.00040994,1.0317e-05,-5.14e-06
-6.1232e-17,0.41271,0.59957,-0.0010799,-0.00016942,0.0016404,0.00065198,0.00082688,0.00044761,1.0967e-05,-6.5152e-06
-6.1232e-17,0.44229,0.59384,-0.0012833,-0.00016889,0.0017597,0.00067722,0.00087849,0.00048563,1.2134e-05,-6.5839e-06
-6.1232e-17,0.4714,0.58788,-0.0014923,-0.00015208,0.0018835,0.00070335,0.00093275,0.00052417,1.3511e-05,-5.6044e-06
-6.1232e-17,0.5,0.58171,-0.0016977,-0.0001208,0.0020148,0.00073035,0.00098953,0.00056277,1.3955e-05,-4.2683e-06
-6.1232e-17,0.52807,0.57534,-0.0018855,-7.9214e-05,0.0021549,0.00075797,0.0010473,0.00060078,1.4643e-05,-2.7679e-06
-6.1232e-17,0.55557,0.56881,-0.0020475,-2.1419e-05,0.0023041,0.00078547,0.0011036,0.0006378,1.551e-05,-1.3089e-06
-6.1232e-17,0.58248,0.56214,-0.0021783,3.4666e-05,0.0024613,0.00081183,0.0011568,0.00067329,1.4823e-05,-4.8507e-07
-6.1232e-17,0.60876,0.55534,-0.0022713,7.589e-05,0.0026248,0.00083605,0.0012074,0.00070638,1.3265e-05,-7.6764e-07
-6.1232e-17,0.63439,0.54838,-0.002318,9.7833e-05,0.0027974,0.00085714,0.0012548,0.00073688,1.0184e-05,-1.3793e-06
-6.1232e-17,0.65935,0.54121,-0.0023145,0.00010463,0.0029857,0.00087443,0.0012995,0.00076541,6.8103e-06,-1.7292e-06
-6.1232e-17,0.68359,0.53383,-0.0022658,0.00010754,0.0031944,0.00088682,0.0013413,0.00079226,5.0875e-06,-2.2456e-06
-6.1232e-17,0.70711,0.52625,-0.0021803,0.0001089,0.0034294,0.0008925,0.0013788,0.00081784,5.3679e-06,-3.0964e-06
-6.1232e-17,0.72986,0.51842,-0.0020644,9.9903e-05,0.0036915,0.00089017,0.001409,0.00084133,7.8957e-06,-3.8607e-06
-6.1232e-17,0.75184,0.51023,-0.0019218,9.3015e-05,0.0039824,0.00087888,0.0014324,0.00086155,1.1916e-05,-3.5579e-06
-6.1232e-17,0.77301,0.50155,-0.0017573,0.00010551,0.004311,0.0008573,0.0014486,0.00087756,1.5764e-05,-2.1571e-06
-6.1232e-17,0.79335,0.49222,-0.0015734,0.0001414,0.0046842,0.00082443,0.0014573,0.00088842,1.886e-05,-8.5818e-07
-6.1232e-17,0.81285,0.48208,-0.0013699,0.00019523,0.0051002,0.00077975,0.001459,0.00089316,2.0008e-05,-7.3995e-07
-6.1232e-17,0.83147,0.47086,-0.0011483,0.0002559,0.0055561,0.00072325,0.0014522,0.00089091,1.9724e-05,-1.6863e-06
