Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
-6.1232e-17,-6.1232e-17,0.63206,9.481e-05,2.5039e-05,0.00073322,0.00048147,0.00047735,-3.6994e-06,-3.8073e-06,1.7335e-06
-6.1232e-17,0.024541,0.63197,9.765e-05,3.7426e-05,0.00073547,0.00048131,0.00047778,1.9406e-05,-4.5106e-06,1.7881e-06
-6.1232e-17,0.049068,0.6316,9.9098e-05,4.7449e-05,0.00074424,0.00048233,0.00047998,4.2622e-05,-5.1547e-06,1.9473e-06
-6.1232e-17,0.073565,0.63095,9.7895e-05,4.9002e-05,0.00075967,0.00048441,0.00048446,6.6036e-05,-5.5259e-06,2.1236e-06
-6.1232e-17,0.098017,0.63001,9.019e-05,3.8632e-05,0.00078162,0.00048755,0.00049187,8.984e-05,-5.7146e-06,2.2845e-06
-6.1232e-17,0.12241,0.6288,7.2882e-05,1.9138e-05,0.00081007,0.00049182,0.00050203,0.00011406,-6.0427e-06,2.3514e-06
-6.1232e-17,0.14673,0.62732,4.4043e-05,-1.2752e-06,0.0008447,0.00049727,0.00051436,0.00013862,-6.7847e-06,2.2724e-06
-6.1232e-17,0.17096,0.62559,2.6702e-06,-1.929e-05,0.00088484,0.00050399,0.00052892,0.00016351,-7.5282e-06,2.1718e-06
-6.1232e-17,0.19509,0.6236,-5.094e-05,-3.2615e-05,0.00093059,0.00051208,0.00054599,0.0001889,-7.8564e-06,2.2432e-06
-6.1232e-17,0.2191,0.62136,-0.00011558,-3.8732e-05,0.00098257,0.00052154,0.00056573,0.00021485,-8.104e-06,2.4831e-06
-6.1232e-17,0.24298,0.61889,-0.00019236,-4.1243e-05,0.0010408,0.00053218,0.0005877,0.0002413,-8.7326e-06,2.7184e-06
-6.1232e-17,0.26671,0.61619,-0.00028353,-4.6694e-05,0.0011045,0.00054388,0.0006114,0.00026818,-9.6682e-06,2.8019e-06
-6.1232e-17,0.29028,0.61325,-0.00039069,-5.9654e-05,0.0011728,0.00055666,0.00063684,0.00029554,-1.038e-05,2.7719e-06
-6.1232e-17,0.31368,0.61008,-0.00051469,-8.1847e-05,0.0012453,0.00057061,0.00066453,0.00032348,-1.0406e-05,2.8187e-06
-6.1232e-17,0.33689,0.60669,-0.0006537,-0.00011253,0.0013217,0.00058578,0.00069529,0.00035202,-9.5511e-06,3.2282e-06
-6.1232e-17,0.3599,0.60309,-0.000804,-0.00014633,0.0014022,0.00060211,0.00072927,0.00038116,-7.8282e-06,3.9045e-06
-6.1232e-17,0.38268,0.5993,-0.00096264,-0.0001763,0.0014856,0.00061953,0.00076584,0.00041083,-5.9837e-06,4.4645e-06
-6.1232e-17,0.40524,0.59531,-0.0011273,-0.00019673,0.0015713,0.00063796,0.00080412,0.00044073,-5.0224e-06,4.5682e-06
-6.1232e-17,0.42756,0.59117,-0.0012964,-0.00020831,0.0016596,0.00065713,0.000843,0.00047053,-5.0821e-06,4.0262e-06
-6.1232e-17,0.44961,0.58687,-0.0014681,-0.00021534,0.0017499,0.00067681,0.00088208,0.00049995,-5.1708e-06,2.9673e-06
-6.1232e-17,0.4714,0.58246,-0.0016374,-0.00021563,0.0018416,0.00069696,0.00092177,0.00052879,-4.6094e-06,1.5783e-06
-6.1232e-17,0.4929,0.57793,-0.0017973,-0.00021069,0.0019354,0.00071747,0.00096217,0.000557,-3.633e-06,5.2662e-08
-6.1232e-17,0.5141,0.57331,-0.0019421,-0.00020156,0.0020313,0.00073825,0.0010036,0.00058459,-2.6155e-06,-1.3001e-06
-6.1232e-17,0.535,0.5686,-0.0020699,-0.00018811,0.0021297,0.00075918,0.0010461,0.00061143,-1.8605e-06,-2.1675e-06
-6.1232e-17,0.55557,0.56382,-0.0021813,-0.0001719,0.0022298,0.00077997,0.0010894,0.00063735,-1.5178e-06,-2.4831e-06
-6.1232e-17,0.57581,0.55897,-0.0022776,-0.00016047,0.0023316,0.00080035,0.0011326,0.00066213,-1.4158e-06,-2.3942e-06
-6.1232e-17,0.5957,0.55409,-0.0023585,-0.00015982,0.0024354,0.00082021,0.0011738,0.00068551,-9.386e-07,-2.0314e-06
-6.1232e-17,0.61523,0.54916,-0.0024218,-0.00017248,0.0025419,0.0008393,0.0012126,0.00070727,4.7426e-07,-1.6035e-06
-6.1232e-17,0.63439,0.54419,-0.0024643,-0.00019853,0.0026526,0.00085701,0.0012503,0.00072761,3.0894e-06,-1.3723e-06
