Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
-6.1232e-17,-6.1232e-17,0.62876,-0.00018488,-0.00018675,0.00069224,0.00045882,0.00045246,1.1749e-05,3.5424e-06,-2.2771e-06
-6.1232e-17,0.024541,0.6285,-0.00022075,-0.000204,0.00069636,0.0004595,0.00045435,3.4594e-05,4.4797e-06,-2.3e-06
-6.1232e-17,0.049068,0.62794,-0.00025718,-0.00021522,0.00070748,0.00046172,0.0004584,5.7476e-05,5.1373e-06,-2.4415e-06
-6.1232e-17,0.073565,0.62711,-0.00029434,-0.00021256,0.00072494,0.0004654,0.0004647,8.0393e-05,5.6773e-06,-2.6843e-06
-6.1232e-17,0.098017,0.62599,-0.000336,-0.0001932,0.0007478,0.00047057,0.00047355,0.00010334,6.2185e-06,-2.9604e-06
-6.1232e-17,0.12241,0.62459,-0.00038739,-0.00015948,0.00077586,0.0004772,0.00048499,0.00012651,6.4618e-06,-3.2111e-06
-6.1232e-17,0.14673,0.62292,-0.00045106,-0.00011763,0.00081009,0.00048517,0.00049844,0.00015014,6.1648e-06,-3.4719e-06
-6.1232e-17,0.17096,0.62098,-0.00052619,-6.9344e-05,0.00085153,0.00049433,0.0005141,0.00017445,5.3359e-06,-3.7271e-06
-6.1232e-17,0.19509,0.61878,-0.00061161,-1.5702e-05,0.00089985,0.00050462,0.0005323,0.00019943,4.1764e-06,-4.0023e-06
-6.1232e-17,0.2191,0.61632,-0.00070771,3.2244e-05,0.00095348,0.00051605,0.000553,0.00022507,3.0736e-06,-4.3189e-06
-6.1232e-17,0.24298,0.6136,-0.00081547,6.5554e-05,0.0010113,0.00052868,0.00057608,0.00025125,2.1854e-06,-4.4536e-06
-6.1232e-17,0.26671,0.61065,-0.00093745,8.5111e-05,0.0010731,0.00054253,0.00060142,0.00027801,1.3027e-06,-4.2298e-06
-6.1232e-17,0.29028,0.60746,-0.0010754,9.4113e-05,0.0011389,0.00055765,0.00062948,0.00030539,5.4276e-07,-3.967e-06
-6.1232e-17,0.31368,0.60406,-0.0012271,8.8262e-05,0.0012084,0.00057392,0.00066065,0.00033332,7.6778e-08,-3.7907e-06
-6.1232e-17,0.33689,0.60045,-0.0013897,6.9696e-05,0.0012806,0.00059116,0.00069407,0.00036146,-3.0006e-07,-3.5176e-06
-6.1232e-17,0.3599,0.59664,-0.0015602,4.2577e-05,0.0013547,0.00060924,0.00072846,0.00038955,-9.8965e-07,-3.288e-06
-6.1232e-17,0.38268,0.59264,-0.0017345,9.4512e-06,0.0014307,0.00062803,0.00076389,0.00041765,-1.9248e-06,-3.2473e-06
-6.1232e-17,0.40524,0.58847,-0.0019079,-1.7993e-05,0.0015091,0.00064728,0.00080057,0.00044557,-3.1609e-06,-3.3662e-06
-6.1232e-17,0.42756,0.58415,-0.0020818,-3.6691e-05,0.0015891,0.00066683,0.00083808,0.00047303,-4.9624e-06,-3.6793e-06
-6.1232e-17,0.44961,0.5797,-0.0022585,-5.4293e-05,0.0016698,0.00068682,0.00087661,0.00050004,-7.0987e-06,-4.0997e-06
-6.1232e-17,0.4714,0.57514,-0.0024351,-7.3438e-05,0.001751,0.0007073,0.00091658,0.00052638,-9.2942e-06,-4.5797e-06
-6.1232e-17,0.4929,0.57049,-0.0026089,-8.7418e-05,0.0018326,0.00072796,0.00095756,0.0005519,-1.0792e-05,-4.9594e-06
-6.1232e-17,0.5141,0.56577,-0.0027784,-9.2852e-05,0.001914,0.00074839,0.00099867,0.00057639,-1.1552e-05,-5.2822e-06
-6.1232e-17,0.535,0.56097,-0.0029404,-9.6273e-05,0.001995,0.0007683,0.0010399,0.0005999,-1.2129e-05,-5.59e-06
-6.1232e-17,0.55557,0.55611,-0.003087,-9.7449e-05,0.0020762,0.00078767,0.0010814,0.00062264,-1.2587e-05,-5.8473e-06
-6.1232e-17,0.57581,0.55118,-0.0032113,-9.0786e-05,0.0021589,0.00080664,0.0011231,0.00064476,-1.2948e-05,-6.1132e-06
-6.1232e-17,0.5957,0.5462,-0.0033124,-7.6926e-05,0.0022436,0.00082543,0.0011646,0.00066623,-1.306e-05,-6.4019e-06
-6.1232e-17,0.61523,0.54116,-0.0033889,-6.6231e-05,0.0023304,0.00084384,0.0012048,0.00068682,-1.2474e-05,-6.4296e-06
-6.1232e-17,0.63439,0.53608,-0.0034373,-6.0346e-05,0.0024204,0.00086138,0.0012432,0.00070636,-1.1017e-05,-5.567e-06
-6.1232e-17,0.65317,0.53094,-0.0034575,-5.4204e-05,0.0025152,0.00087771,0.0012807,0.00072488,-9.2134e-06,-3.7507e-06
-6.1232e-17,0.67156,0.52573,-0.0034518,-4.9282e-05,0.0026161,0.00089252,0.0013179,0.00074218,-7.5263e-06,-1.3023e-06
-6.1232e-17,0.68954,0.52046,-0.0034222,-4.3768e-05,0.0027235,0.00090531,0.0013534,0.00075786,-6.6902e-06,1.3558e-06
-6.1232e-17,0.70711,0.51511,-0.0033699,-3.3922e-05,0.0028375,0.00091552,0.0013858,0.00077199,-7.1212e-06,3.6682e-06
-6.1232e-17,0.72425,0.50966,-0.0032939,-1.9122e-05,0.0029595,0.00092276,0.0014151,0.00078485,-8.0541e-06,5.3931e-06
-6.1232e-17,0.74095,0.50409,-0.0031927,1.7486e-06,0.0030933,0.00092654,0.0014423,0.00079656,-8.2288e-06,6.435e-06
-6.1232e-17,0.75721,0.49838,-0.0030667,3.0961e-05,0.0032428,0.00092614,0.001467,0.00080722,-7.7291e-06,6.9539e-06
-6.1232e-17,0.77301,0.49249,-0.0029193,5.8213e-05,0.0034105,0.00092073,0.0014881,0.00081659,-7.1339e-06,7.2362e-06
-6.1232e-17,0.78835,0.48637,-0.0027547,6.6683e-05,0.0035982,0.00090966,0.0015048,0.00082461,-6.5217e-06,7.3524e-06
-6.1232e-17,0.80321,0.47994,-0.0025758,4.7306e-05,0.0038096,0.00089254,0.0015177,0.00083136,-5.5923e-06,7.2722e-06
-6.1232e-17,0.81758,0.47315,-0.0023867,9.2732e-06,0.0040495,0.00086914,0.0015276,0.0008369,-4.3002e-06,7.0958e-06
-6.1232e-17,0.83147,0.46588,-0.0021925,-3.4711e-05,0.004321,0.00083915,0.0015335,0.0008408,-3.6151e-06,6.8379e-06
-6.1232e-17,0.84485,0.45805,-0.0019976,-8.1493e-05,0.0046258,0.00080213,0.0015344,0.00084255,-4.0573e-06,6.3138e-06
-6.1232e-17,0.85773,0.44951,-0.0018058,-0.00012836,0.0049636,0.00075774,0.0015303,0.00084128,-5.2834e-06,5.3657e-06
