Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
-6.1232e-17,-6.1232e-17,0.62981,6.9528e-05,-7.8236e-06,0.00072984,0.00046535,0.00047311,6.4687e-06,-1.9584e-07,4.3014e-06
-6.1232e-17,0.024541,0.62963,9.5761e-05,2.1826e-06,0.00073663,0.00046677,0.00047357,2.7052e-05,-2.034e-07,4.4351e-06
-6.1232e-17,0.049068,0.6292,0.00011711,1.3354e-05,0.00074895,0.00046936,0.0004761,4.7781e-05,-4.3684e-08,4.7865e-06
-6.1232e-17,0.073565,0.62849,0.00012936,2.5014e-05,0.00076658,0.0004732,0.00048071,6.9137e-05,5.5773e-08,5.3038e-06
-6.1232e-17,0.098017,0.62752,0.00012724,4.4932e-05,0.00078873,0.0004784,0.00048768,9.1597e-05,-2.3699e-07,5.7789e-06
-6.1232e-17,0.12241,0.62627,0.00010657,7.403e-05,0.00081509,0.00048508,0.0004973,0.00011534,-9.1691e-07,5.9671e-06
-6.1232e-17,0.14673,0.62477,6.5667e-05,0.00010856,0.00084637,0.00049327,0.00050979,0.00014029,-1.7931e-06,5.9263e-06
-6.1232e-17,0.17096,0.62299,3.9045e-06,0.00014662,0.00088369,0.00050276,0.00052525,0.00016635,-2.509e-06,5.6487e-06
-6.1232e-17,0.19509,0.62096,-7.884e-05,0.00018077,0.00092824,0.00051319,0.00054331,0.0001935,-2.7042e-06,5.0023e-06
-6.1232e-17,0.2191,0.61868,-0.00018028,0.00020153,0.00097998,0.0005243,0.00056384,0.0002213,-2.4617e-06,3.8801e-06
-6.1232e-17,0.24298,0.61618,-0.00029598,0.00020381,0.0010383,0.00053615,0.000587,0.00024917,-2.0503e-06,2.5203e-06
-6.1232e-17,0.26671,0.61344,-0.00042261,0.00019313,0.0011025,0.00054889,0.00061304,0.00027706,-1.7673e-06,1.2552e-06
-6.1232e-17,0.29028,0.61048,-0.00055965,0.00018118,0.001172,0.00056276,0.00064146,0.00030507,-2.0102e-06,2.3532e-07
-6.1232e-17,0.31368,0.6073,-0.00070725,0.00017357,0.0012456,0.00057804,0.0006715,0.00033313,-2.9186e-06,-4.646e-07
-6.1232e-17,0.33689,0.60391,-0.000864,0.00017135,0.0013214,0.00059458,0.00070282,0.00036083,-4.3583e-06,-7.3061e-07
-6.1232e-17,0.3599,0.60031,-0.001026,0.00017537,0.0013979,0.00061196,0.00073557,0.00038794,-6.02e-06,-6.6008e-07
-6.1232e-17,0.38268,0.59652,-0.0011915,0.00018326,0.0014743,0.0006299,0.00077022,0.00041449,-7.8085e-06,-3.433e-07
-6.1232e-17,0.40524,0.59252,-0.0013605,0.00019192,0.0015513,0.00064839,0.00080698,0.00044101,-9.0043e-06,9.6862e-08
-6.1232e-17,0.42756,0.58837,-0.0015301,0.00019689,0.0016302,0.00066746,0.00084541,0.0004678,-9.5234e-06,3.7185e-07
-6.1232e-17,0.44961,0.58405,-0.0016995,0.00018955,0.0017115,0.00068713,0.00088455,0.00049469,-1.035e-05,3.6475e-07
-6.1232e-17,0.4714,0.57961,-0.001868,0.00017258,0.0017952,0.00070725,0.00092386,0.00052136,-1.1902e-05,2.9471e-07
-6.1232e-17,0.4929,0.57505,-0.0020342,0.00015596,0.0018804,0.00072768,0.00096386,0.00054762,-1.4698e-05,1.5954e-08
-6.1232e-17,0.5141,0.57039,-0.0021943,0.00014065,0.0019663,0.00074827,0.0010055,0.0005733,-1.8217e-05,-5.8818e-07
-6.1232e-17,0.535,0.56564,-0.0023428,0.00012979,0.0020533,0.0007688,0.0010478,0.00059811,-2.1191e-05,-1.324e-06
-6.1232e-17,0.55557,0.56083,-0.0024739,0.00014034,0.0021424,0.00078902,0.0010893,0.00062173,-2.3969e-05,-2.0937e-06
-6.1232e-17,0.57581,0.55595,-0.0025834,0.00017662,0.0022342,0.00080861,0.0011298,0.00064421,-2.7015e-05,-2.8539e-06
-6.1232e-17,0.5957,0.55103,-0.0026724,0.00023226,0.0023285,0.00082725,0.001169,0.00066583,-2.9817e-05,-3.1924e-06
-6.1232e-17,0.61523,0.54607,-0.0027463,0.00029665,0.0024249,0.00084484,0.0012073,0.0006868,-3.2226e-05,-2.6397e-06
-6.1232e-17,0.63439,0.54109,-0.002806,0.00036163,0.002525,0.00086124,0.0012443,0.00070722,-3.4386e-05,-1.0701e-06
-6.1232e-17,0.65317,0.53606,-0.0028447,0.00042377,0.0026308,0.00087623,0.0012805,0.00072707,-3.6422e-05,1.2701e-06
-6.1232e-17,0.67156,0.53097,-0.0028567,0.00047454,0.0027443,0.00088959,0.001316,0.00074633,-3.8093e-05,3.925e-06
-6.1232e-17,0.68954,0.52578,-0.002843,0.0004985,0.0028678,0.00090092,0.0013504,0.00076476,-3.9416e-05,6.4136e-06
-6.1232e-17,0.70711,0.52051,-0.002806,0.00048556,0.0030031,0.00090975,0.0013832,0.00078198,-4.0057e-05,9.0041e-06
-6.1232e-17,0.72425,0.51513,-0.0027456,0.00044715,0.0031523,0.00091531,0.0014136,0.0007979,-4.0125e-05,1.18e-05
-6.1232e-17,0.74095,0.50963,-0.0026604,0.00039769,0.0033184,0.00091673,0.0014406,0.00081258,-3.9963e-05,1.4259e-05
-6.1232e-17,0.75721,0.50396,-0.002549,0.00033949,0.0035047,0.00091311,0.0014628,0.00082595,-3.9736e-05,1.551e-05
-6.1232e-17,0.77301,0.49808,-0.002414,0.00026609,0.0037154,0.00090356,0.0014805,0.00083785,-3.9675e-05,1.5222e-05
-6.1232e-17,0.78835,0.49193,-0.002261,0.00017446,0.0039517,0.00088755,0.0014947,0.00084828,-4.0358e-05,1.3715e-05
-6.1232e-17,0.80321,0.48545,-0.0020958,5.8891e-05,0.0042132,0.000865,0.0015056,0.00085704,-4.2435e-05,1.1661e-05
-6.1232e-17,0.81758,0.47856,-0.0019246,-8.0993e-05,0.0045006,0.00083582,0.0015124,0.00086386,-4.5899e-05,9.6448e-06
